DataCategory,DataType,HUC,OrganizationIdentifier,ReportIdentifier,ReportUnitIdentifier,ReportUnitName,State,WaDEURLAddress
DETAIL,ALLOCATION,10120107,DENR,2008,10120107,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10150003,DENR,2008,10150003,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170103,DENR,2009,10170103,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,07020003,DENR,2009,07020003,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160006,DENR,2013,10160006,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,09020105,DENR,2008,09020105,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120111,DENR,2012,10120111,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170102,DENR,2007,10170102,Vermillion,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,09020101,DENR,2007,09020101,Bois De Sioux,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160010,DENR,2013,10160010,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160007,DENR,2014,10160007,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130306,DENR,2011,10130306,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160005,DENR,2011,10160005,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170102,DENR,2015,10170102,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160008,DENR,2009,10160008,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130105,DENR,2009,10130105,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,09020101,DENR,2015,09020101,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130303,DENR,2012,10130303,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140204,DENR,2013,10140204,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140102,DENR,2009,10140102,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10150004,DENR,2011,10150004,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160009,DENR,2013,10160009,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130305,DENR,2010,10130305,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120203,DENR,2013,10120203,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,09020101,DENR,2017,09020101,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170102,DENR,2016,10170102,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10110202,DENR,2013,10110202,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130302,DENR,2010,10130302,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170102,DENR,2017,10170102,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,09020101,DENR,2016,09020101,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130102,DENR,2008,10130102,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140201,DENR,2010,10140201,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10110201,DENR,2008,10110201,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160007,DENR,2007,10160007,North Fork Snake,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130205,DENR,2013,10130205,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170101,DENR,2009,10170101,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140101,DENR,2009,10140101,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,09020101,DENR,2014,09020101,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170102,DENR,2014,10170102,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120109,DENR,2013,10120109,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140105,DENR,2012,10140105,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120110,DENR,2011,10120110,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130106,DENR,2013,10130106,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120112,DENR,2011,10120112,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160007,DENR,2015,10160007,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120108,DENR,2010,10120108,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120202,DENR,2012,10120202,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140103,DENR,2008,10140103,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10150006,DENR,2009,10150006,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10150001,DENR,2010,10150001,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120113,DENR,2009,10120113,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,07020001,DENR,2010,07020001,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160003,DENR,2012,10160003,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140203,DENR,2012,10140203,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160004,DENR,2013,10160004,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170201,DENR,2008,10170201,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170202,DENR,2008,10170202,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160007,DENR,2017,10160007,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160007,DENR,2016,10160007,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130102,DENR,2015,10130102,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,09020105,DENR,2007,09020105,Western Wild Rice,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170203,DENR,2013,10170203,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10150003,DENR,2007,10150003,Upper Niobrara,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10110201,DENR,2014,10110201,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120107,DENR,2007,10120107,Beaver,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140202,DENR,2013,10140202,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140201,DENR,2011,10140201,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120106,DENR,2013,10120106,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140101,DENR,2012,10140101,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,09020101,DENR,2008,09020101,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130102,DENR,2016,10130102,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140104,DENR,2013,10140104,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130102,DENR,2017,10130102,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170101,DENR,2012,10170101,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170102,DENR,2008,10170102,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10150006,DENR,2012,10150006,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10150003,DENR,2016,10150003,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120107,DENR,2017,10120107,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120202,DENR,2009,10120202,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120107,DENR,2016,10120107,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10150003,DENR,2017,10150003,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10150001,DENR,2011,10150001,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140105,DENR,2009,10140105,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120110,DENR,2010,10120110,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140103,DENR,2014,10140103,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,09020105,DENR,2017,09020105,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,09020105,DENR,2016,09020105,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120112,DENR,2010,10120112,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120108,DENR,2011,10120108,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130102,DENR,2007,10130102,Upper Lake Oahe,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,09020105,DENR,2015,09020105,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10150003,DENR,2015,10150003,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140203,DENR,2009,10140203,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170201,DENR,2014,10170201,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170202,DENR,2014,10170202,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,07020001,DENR,2011,07020001,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120113,DENR,2012,10120113,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160003,DENR,2009,10160003,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120107,DENR,2015,10120107,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120107,DENR,2014,10120107,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120111,DENR,2009,10120111,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10150003,DENR,2014,10150003,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170201,DENR,2015,10170201,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170202,DENR,2015,10170202,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10110201,DENR,2007,10110201,Upper Little Missouri,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,09020105,DENR,2014,09020105,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140103,DENR,2017,10140103,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130304,DENR,2013,10130304,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170103,DENR,2012,10170103,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,07020003,DENR,2012,07020003,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140103,DENR,2016,10140103,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130306,DENR,2010,10130306,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140103,DENR,2015,10140103,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160007,DENR,2008,10160007,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170201,DENR,2017,10170201,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170202,DENR,2017,10170202,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170201,DENR,2016,10170201,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170202,DENR,2016,10170202,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130301,DENR,2013,10130301,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140103,DENR,2007,10140103,Medicine Knoll,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160008,DENR,2012,10160008,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10110201,DENR,2017,10110201,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160005,DENR,2010,10160005,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130303,DENR,2009,10130303,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10110201,DENR,2016,10110201,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130105,DENR,2012,10130105,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170201,DENR,2007,10170201,Upper Big Sioux,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170202,DENR,2007,10170202,Middle Big Sioux,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10110201,DENR,2015,10110201,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130302,DENR,2011,10130302,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10150004,DENR,2010,10150004,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140102,DENR,2012,10140102,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130305,DENR,2011,10130305,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130102,DENR,2014,10130102,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,09020101,DENR,2011,09020101,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160005,DENR,2015,10160005,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170102,DENR,2011,10170102,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140101,DENR,2013,10140101,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130306,DENR,2007,10130306,Lower Moreau,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10150004,DENR,2017,10150004,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170101,DENR,2013,10170101,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140104,DENR,2012,10140104,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130205,DENR,2009,10130205,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10150004,DENR,2016,10150004,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170203,DENR,2012,10170203,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10150004,DENR,2015,10150004,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140201,DENR,2008,10140201,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160005,DENR,2017,10160005,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120106,DENR,2012,10120106,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10110201,DENR,2010,10110201,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140202,DENR,2012,10140202,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160005,DENR,2016,10160005,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130306,DENR,2016,10130306,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,07020001,DENR,2008,07020001,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160004,DENR,2009,10160004,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130306,DENR,2017,10130306,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10150004,DENR,2007,10150004,Middle Niobrara,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170201,DENR,2010,10170201,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170202,DENR,2010,10170202,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120113,DENR,2013,10120113,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10150006,DENR,2013,10150006,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160005,DENR,2007,10160005,Mud,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120108,DENR,2008,10120108,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120110,DENR,2014,10120110,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130106,DENR,2009,10130106,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140103,DENR,2010,10140103,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130306,DENR,2015,10130306,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10150001,DENR,2008,10150001,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120112,DENR,2014,10120112,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120109,DENR,2009,10120109,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120112,DENR,2015,10120112,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160007,DENR,2011,10160007,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130306,DENR,2014,10130306,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120110,DENR,2015,10120110,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160010,DENR,2009,10160010,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130301,DENR,2012,10130301,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120107,DENR,2010,10120107,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10150003,DENR,2010,10150003,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160006,DENR,2009,10160006,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120112,DENR,2016,10120112,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170103,DENR,2013,10170103,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,07020003,DENR,2013,07020003,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,09020105,DENR,2010,09020105,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120110,DENR,2017,10120110,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120110,DENR,2016,10120110,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120112,DENR,2017,10120112,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130304,DENR,2012,10130304,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10110202,DENR,2009,10110202,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130305,DENR,2008,10130305,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120203,DENR,2009,10120203,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10150004,DENR,2014,10150004,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130302,DENR,2008,10130302,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160009,DENR,2009,10160009,,45,http://www.westernstateswater.org/SouthDakota
