DataCategory,DataType,HUC,OrganizationIdentifier,ReportIdentifier,ReportUnitIdentifier,ReportUnitName,State,WaDEURLAddress
DETAIL,ALLOCATION,10130102,DENR,2010,10130102,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140102,DENR,2013,10140102,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120112,DENR,2007,10120112,Lower Cheyenne,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140204,DENR,2009,10140204,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120110,DENR,2007,10120110,Rapid,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160005,DENR,2014,10160005,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130105,DENR,2013,10130105,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160008,DENR,2013,10160008,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160010,DENR,2012,10160010,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130301,DENR,2009,10130301,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10150001,DENR,2015,10150001,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,07020001,DENR,2017,07020001,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130306,DENR,2008,10130306,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,07020001,DENR,2016,07020001,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160007,DENR,2010,10160007,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120108,DENR,2015,10120108,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160006,DENR,2012,10160006,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120108,DENR,2016,10120108,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,09020105,DENR,2011,09020105,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120108,DENR,2017,10120108,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130304,DENR,2009,10130304,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10150001,DENR,2016,10150001,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140201,DENR,2007,10140201,Upper White,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120107,DENR,2011,10120107,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120111,DENR,2013,10120111,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10150003,DENR,2011,10150003,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10150001,DENR,2017,10150001,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,07020001,DENR,2015,07020001,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130102,DENR,2011,10130102,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130305,DENR,2014,10130305,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160009,DENR,2012,10160009,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10110202,DENR,2012,10110202,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140201,DENR,2015,10140201,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10150004,DENR,2008,10150004,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130302,DENR,2014,10130302,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120203,DENR,2012,10120203,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,07020001,DENR,2007,07020001,Upper Minnesota,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10150001,DENR,2007,10150001,Ponca,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140201,DENR,2016,10140201,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130303,DENR,2013,10130303,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140201,DENR,2017,10140201,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160005,DENR,2008,10160005,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120108,DENR,2007,10120108,Hat,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140204,DENR,2012,10140204,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130205,DENR,2012,10130205,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130305,DENR,2016,10130305,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140104,DENR,2009,10140104,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130305,DENR,2017,10130305,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,09020101,DENR,2010,09020101,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130302,DENR,2016,10130302,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170102,DENR,2010,10170102,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130302,DENR,2017,10130302,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10110201,DENR,2011,10110201,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120106,DENR,2009,10120106,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140202,DENR,2009,10140202,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130302,DENR,2015,10130302,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140201,DENR,2014,10140201,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130305,DENR,2015,10130305,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170203,DENR,2009,10170203,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130302,DENR,2007,10130302,South Fork Grand,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,07020001,DENR,2014,07020001,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170201,DENR,2011,10170201,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170202,DENR,2011,10170202,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160003,DENR,2013,10160003,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140203,DENR,2013,10140203,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130305,DENR,2007,10130305,Upper Moreau,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160004,DENR,2012,10160004,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140103,DENR,2011,10140103,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130106,DENR,2012,10130106,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120109,DENR,2012,10120109,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120108,DENR,2014,10120108,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140105,DENR,2013,10140105,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120110,DENR,2008,10120110,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10150001,DENR,2014,10150001,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120112,DENR,2008,10120112,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120202,DENR,2013,10120202,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160010,DENR,2016,10160010,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10110202,DENR,2007,10110202,Boxelder,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120203,DENR,2007,10120203,Redwater,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160003,DENR,2010,10160003,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,07020001,DENR,2012,07020001,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120113,DENR,2011,10120113,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140203,DENR,2010,10140203,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160010,DENR,2017,10160010,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160006,DENR,2015,10160006,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160004,DENR,2014,10160004,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160009,DENR,2007,10160009,Turtle,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120109,DENR,2014,10120109,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160006,DENR,2016,10160006,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120108,DENR,2012,10120108,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120112,DENR,2009,10120112,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160006,DENR,2017,10160006,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140204,DENR,2007,10140204,Lower White,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130106,DENR,2014,10130106,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120110,DENR,2009,10120110,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140105,DENR,2010,10140105,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10150001,DENR,2012,10150001,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160010,DENR,2015,10160010,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120202,DENR,2010,10120202,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10150006,DENR,2011,10150006,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160009,DENR,2017,10160009,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170101,DENR,2011,10170101,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130205,DENR,2014,10130205,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140204,DENR,2015,10140204,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160009,DENR,2016,10160009,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,09020101,DENR,2013,09020101,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160010,DENR,2007,10160010,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10110202,DENR,2016,10110202,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120203,DENR,2017,10120203,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140101,DENR,2011,10140101,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120203,DENR,2016,10120203,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140104,DENR,2008,10140104,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10110202,DENR,2017,10110202,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170102,DENR,2013,10170102,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140201,DENR,2012,10140201,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10110202,DENR,2015,10110202,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170203,DENR,2008,10170203,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120203,DENR,2015,10120203,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140204,DENR,2017,10140204,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160006,DENR,2007,10160006,Middle James,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160009,DENR,2015,10160009,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140204,DENR,2016,10140204,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120106,DENR,2008,10120106,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140202,DENR,2008,10140202,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130205,DENR,2016,10130205,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130305,DENR,2012,10130305,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160009,DENR,2014,10160009,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160004,DENR,2007,10160004,Elm,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10150004,DENR,2009,10150004,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140102,DENR,2011,10140102,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130205,DENR,2017,10130205,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120203,DENR,2014,10120203,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130302,DENR,2012,10130302,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10110202,DENR,2014,10110202,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130105,DENR,2011,10130105,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130303,DENR,2010,10130303,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160005,DENR,2009,10160005,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160008,DENR,2011,10160008,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140204,DENR,2014,10140204,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130106,DENR,2007,10130106,West Missouri Coteau,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130205,DENR,2015,10130205,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120109,DENR,2007,10120109,Middle Cheyenne-Spring,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160010,DENR,2014,10160010,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160007,DENR,2013,10160007,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130106,DENR,2015,10130106,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130205,DENR,2007,10130205,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130306,DENR,2009,10130306,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160004,DENR,2017,10160004,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160004,DENR,2016,10160004,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120109,DENR,2015,10120109,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130301,DENR,2008,10130301,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120109,DENR,2017,10120109,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170103,DENR,2011,10170103,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,07020003,DENR,2011,07020003,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130106,DENR,2016,10130106,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130106,DENR,2017,10130106,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120109,DENR,2016,10120109,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160004,DENR,2015,10160004,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160006,DENR,2014,10160006,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120111,DENR,2010,10120111,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130304,DENR,2008,10130304,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120106,DENR,2015,10120106,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140202,DENR,2015,10140202,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130302,DENR,2009,10130302,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160009,DENR,2008,10160009,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130305,DENR,2009,10130305,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120203,DENR,2008,10120203,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140104,DENR,2016,10140104,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170203,DENR,2015,10170203,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10110202,DENR,2008,10110202,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130102,DENR,2013,10130102,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140104,DENR,2017,10140104,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140102,DENR,2010,10140102,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10150004,DENR,2012,10150004,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170203,DENR,2016,10170203,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140104,DENR,2015,10140104,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170203,DENR,2017,10170203,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130303,DENR,2011,10130303,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140204,DENR,2008,10140204,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130105,DENR,2010,10130105,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120106,DENR,2016,10120106,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140202,DENR,2016,10140202,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140202,DENR,2017,10140202,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160008,DENR,2010,10160008,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120106,DENR,2017,10120106,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160005,DENR,2012,10160005,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130306,DENR,2012,10130306,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140104,DENR,2007,10140104,Medicine,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160010,DENR,2008,10160010,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130301,DENR,2014,10130301,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120107,DENR,2013,10120107,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120111,DENR,2011,10120111,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140202,DENR,2007,10140202,Middle White,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120106,DENR,2007,10120106,Angostura Reservoir,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160006,DENR,2008,10160006,,45,http://www.westernstateswater.org/SouthDakota
