CountyFIPS,DataCategory,DataType,OrganizationIdentifier,ReportIdentifier,ReportUnitIdentifier,State,WaDEURLAddress
20001,DETAIL,ALLOCATION,KDA-DWR,2015,20001,39,http://wade.kda.ks.gov
20003,DETAIL,ALLOCATION,KDA-DWR,2015,20003,39,http://wade.kda.ks.gov
20005,DETAIL,ALLOCATION,KDA-DWR,2015,20005,39,http://wade.kda.ks.gov
20007,DETAIL,ALLOCATION,KDA-DWR,2015,20007,39,http://wade.kda.ks.gov
20009,DETAIL,ALLOCATION,KDA-DWR,2015,20009,39,http://wade.kda.ks.gov
20011,DETAIL,ALLOCATION,KDA-DWR,2015,20011,39,http://wade.kda.ks.gov
20013,DETAIL,ALLOCATION,KDA-DWR,2015,20013,39,http://wade.kda.ks.gov
20015,DETAIL,ALLOCATION,KDA-DWR,2015,20015,39,http://wade.kda.ks.gov
20017,DETAIL,ALLOCATION,KDA-DWR,2015,20017,39,http://wade.kda.ks.gov
20019,DETAIL,ALLOCATION,KDA-DWR,2015,20019,39,http://wade.kda.ks.gov
20021,DETAIL,ALLOCATION,KDA-DWR,2015,20021,39,http://wade.kda.ks.gov
20023,DETAIL,ALLOCATION,KDA-DWR,2015,20023,39,http://wade.kda.ks.gov
20025,DETAIL,ALLOCATION,KDA-DWR,2015,20025,39,http://wade.kda.ks.gov
20027,DETAIL,ALLOCATION,KDA-DWR,2015,20027,39,http://wade.kda.ks.gov
20029,DETAIL,ALLOCATION,KDA-DWR,2015,20029,39,http://wade.kda.ks.gov
20031,DETAIL,ALLOCATION,KDA-DWR,2015,20031,39,http://wade.kda.ks.gov
20033,DETAIL,ALLOCATION,KDA-DWR,2015,20033,39,http://wade.kda.ks.gov
20035,DETAIL,ALLOCATION,KDA-DWR,2015,20035,39,http://wade.kda.ks.gov
20037,DETAIL,ALLOCATION,KDA-DWR,2015,20037,39,http://wade.kda.ks.gov
20039,DETAIL,ALLOCATION,KDA-DWR,2015,20039,39,http://wade.kda.ks.gov
20041,DETAIL,ALLOCATION,KDA-DWR,2015,20041,39,http://wade.kda.ks.gov
20043,DETAIL,ALLOCATION,KDA-DWR,2015,20043,39,http://wade.kda.ks.gov
20045,DETAIL,ALLOCATION,KDA-DWR,2015,20045,39,http://wade.kda.ks.gov
20047,DETAIL,ALLOCATION,KDA-DWR,2015,20047,39,http://wade.kda.ks.gov
20049,DETAIL,ALLOCATION,KDA-DWR,2015,20049,39,http://wade.kda.ks.gov
20051,DETAIL,ALLOCATION,KDA-DWR,2015,20051,39,http://wade.kda.ks.gov
20053,DETAIL,ALLOCATION,KDA-DWR,2015,20053,39,http://wade.kda.ks.gov
20055,DETAIL,ALLOCATION,KDA-DWR,2015,20055,39,http://wade.kda.ks.gov
20057,DETAIL,ALLOCATION,KDA-DWR,2015,20057,39,http://wade.kda.ks.gov
20059,DETAIL,ALLOCATION,KDA-DWR,2015,20059,39,http://wade.kda.ks.gov
20061,DETAIL,ALLOCATION,KDA-DWR,2015,20061,39,http://wade.kda.ks.gov
20063,DETAIL,ALLOCATION,KDA-DWR,2015,20063,39,http://wade.kda.ks.gov
20065,DETAIL,ALLOCATION,KDA-DWR,2015,20065,39,http://wade.kda.ks.gov
20067,DETAIL,ALLOCATION,KDA-DWR,2015,20067,39,http://wade.kda.ks.gov
20069,DETAIL,ALLOCATION,KDA-DWR,2015,20069,39,http://wade.kda.ks.gov
20071,DETAIL,ALLOCATION,KDA-DWR,2015,20071,39,http://wade.kda.ks.gov
20073,DETAIL,ALLOCATION,KDA-DWR,2015,20073,39,http://wade.kda.ks.gov
20075,DETAIL,ALLOCATION,KDA-DWR,2015,20075,39,http://wade.kda.ks.gov
20077,DETAIL,ALLOCATION,KDA-DWR,2015,20077,39,http://wade.kda.ks.gov
20079,DETAIL,ALLOCATION,KDA-DWR,2015,20079,39,http://wade.kda.ks.gov
20081,DETAIL,ALLOCATION,KDA-DWR,2015,20081,39,http://wade.kda.ks.gov
20083,DETAIL,ALLOCATION,KDA-DWR,2015,20083,39,http://wade.kda.ks.gov
20085,DETAIL,ALLOCATION,KDA-DWR,2015,20085,39,http://wade.kda.ks.gov
20087,DETAIL,ALLOCATION,KDA-DWR,2015,20087,39,http://wade.kda.ks.gov
20089,DETAIL,ALLOCATION,KDA-DWR,2015,20089,39,http://wade.kda.ks.gov
20091,DETAIL,ALLOCATION,KDA-DWR,2015,20091,39,http://wade.kda.ks.gov
20093,DETAIL,ALLOCATION,KDA-DWR,2015,20093,39,http://wade.kda.ks.gov
20095,DETAIL,ALLOCATION,KDA-DWR,2015,20095,39,http://wade.kda.ks.gov
20097,DETAIL,ALLOCATION,KDA-DWR,2015,20097,39,http://wade.kda.ks.gov
20099,DETAIL,ALLOCATION,KDA-DWR,2015,20099,39,http://wade.kda.ks.gov
20101,DETAIL,ALLOCATION,KDA-DWR,2015,20101,39,http://wade.kda.ks.gov
20103,DETAIL,ALLOCATION,KDA-DWR,2015,20103,39,http://wade.kda.ks.gov
20105,DETAIL,ALLOCATION,KDA-DWR,2015,20105,39,http://wade.kda.ks.gov
20107,DETAIL,ALLOCATION,KDA-DWR,2015,20107,39,http://wade.kda.ks.gov
20109,DETAIL,ALLOCATION,KDA-DWR,2015,20109,39,http://wade.kda.ks.gov
20111,DETAIL,ALLOCATION,KDA-DWR,2015,20111,39,http://wade.kda.ks.gov
20113,DETAIL,ALLOCATION,KDA-DWR,2015,20113,39,http://wade.kda.ks.gov
20115,DETAIL,ALLOCATION,KDA-DWR,2015,20115,39,http://wade.kda.ks.gov
20117,DETAIL,ALLOCATION,KDA-DWR,2015,20117,39,http://wade.kda.ks.gov
20119,DETAIL,ALLOCATION,KDA-DWR,2015,20119,39,http://wade.kda.ks.gov
20121,DETAIL,ALLOCATION,KDA-DWR,2015,20121,39,http://wade.kda.ks.gov
20123,DETAIL,ALLOCATION,KDA-DWR,2015,20123,39,http://wade.kda.ks.gov
20125,DETAIL,ALLOCATION,KDA-DWR,2015,20125,39,http://wade.kda.ks.gov
20127,DETAIL,ALLOCATION,KDA-DWR,2015,20127,39,http://wade.kda.ks.gov
20129,DETAIL,ALLOCATION,KDA-DWR,2015,20129,39,http://wade.kda.ks.gov
20131,DETAIL,ALLOCATION,KDA-DWR,2015,20131,39,http://wade.kda.ks.gov
20133,DETAIL,ALLOCATION,KDA-DWR,2015,20133,39,http://wade.kda.ks.gov
20135,DETAIL,ALLOCATION,KDA-DWR,2015,20135,39,http://wade.kda.ks.gov
20137,DETAIL,ALLOCATION,KDA-DWR,2015,20137,39,http://wade.kda.ks.gov
20139,DETAIL,ALLOCATION,KDA-DWR,2015,20139,39,http://wade.kda.ks.gov
20141,DETAIL,ALLOCATION,KDA-DWR,2015,20141,39,http://wade.kda.ks.gov
20143,DETAIL,ALLOCATION,KDA-DWR,2015,20143,39,http://wade.kda.ks.gov
20145,DETAIL,ALLOCATION,KDA-DWR,2015,20145,39,http://wade.kda.ks.gov
20147,DETAIL,ALLOCATION,KDA-DWR,2015,20147,39,http://wade.kda.ks.gov
20149,DETAIL,ALLOCATION,KDA-DWR,2015,20149,39,http://wade.kda.ks.gov
20151,DETAIL,ALLOCATION,KDA-DWR,2015,20151,39,http://wade.kda.ks.gov
20153,DETAIL,ALLOCATION,KDA-DWR,2015,20153,39,http://wade.kda.ks.gov
20155,DETAIL,ALLOCATION,KDA-DWR,2015,20155,39,http://wade.kda.ks.gov
20157,DETAIL,ALLOCATION,KDA-DWR,2015,20157,39,http://wade.kda.ks.gov
20159,DETAIL,ALLOCATION,KDA-DWR,2015,20159,39,http://wade.kda.ks.gov
20161,DETAIL,ALLOCATION,KDA-DWR,2015,20161,39,http://wade.kda.ks.gov
20163,DETAIL,ALLOCATION,KDA-DWR,2015,20163,39,http://wade.kda.ks.gov
20165,DETAIL,ALLOCATION,KDA-DWR,2015,20165,39,http://wade.kda.ks.gov
20167,DETAIL,ALLOCATION,KDA-DWR,2015,20167,39,http://wade.kda.ks.gov
20169,DETAIL,ALLOCATION,KDA-DWR,2015,20169,39,http://wade.kda.ks.gov
20171,DETAIL,ALLOCATION,KDA-DWR,2015,20171,39,http://wade.kda.ks.gov
20173,DETAIL,ALLOCATION,KDA-DWR,2015,20173,39,http://wade.kda.ks.gov
20175,DETAIL,ALLOCATION,KDA-DWR,2015,20175,39,http://wade.kda.ks.gov
20177,DETAIL,ALLOCATION,KDA-DWR,2015,20177,39,http://wade.kda.ks.gov
20179,DETAIL,ALLOCATION,KDA-DWR,2015,20179,39,http://wade.kda.ks.gov
20181,DETAIL,ALLOCATION,KDA-DWR,2015,20181,39,http://wade.kda.ks.gov
20183,DETAIL,ALLOCATION,KDA-DWR,2015,20183,39,http://wade.kda.ks.gov
20185,DETAIL,ALLOCATION,KDA-DWR,2015,20185,39,http://wade.kda.ks.gov
20187,DETAIL,ALLOCATION,KDA-DWR,2015,20187,39,http://wade.kda.ks.gov
20189,DETAIL,ALLOCATION,KDA-DWR,2015,20189,39,http://wade.kda.ks.gov
20191,DETAIL,ALLOCATION,KDA-DWR,2015,20191,39,http://wade.kda.ks.gov
20193,DETAIL,ALLOCATION,KDA-DWR,2015,20193,39,http://wade.kda.ks.gov
20195,DETAIL,ALLOCATION,KDA-DWR,2015,20195,39,http://wade.kda.ks.gov
20197,DETAIL,ALLOCATION,KDA-DWR,2015,20197,39,http://wade.kda.ks.gov
20199,DETAIL,ALLOCATION,KDA-DWR,2015,20199,39,http://wade.kda.ks.gov
20201,DETAIL,ALLOCATION,KDA-DWR,2015,20201,39,http://wade.kda.ks.gov
20203,DETAIL,ALLOCATION,KDA-DWR,2015,20203,39,http://wade.kda.ks.gov
20205,DETAIL,ALLOCATION,KDA-DWR,2015,20205,39,http://wade.kda.ks.gov
20207,DETAIL,ALLOCATION,KDA-DWR,2015,20207,39,http://wade.kda.ks.gov
20209,DETAIL,ALLOCATION,KDA-DWR,2015,20209,39,http://wade.kda.ks.gov
20001,DETAIL,ALLOCATION,KDA-DWR,2016,20001,20,http://wade.kda.ks.gov
20003,DETAIL,ALLOCATION,KDA-DWR,2016,20003,20,http://wade.kda.ks.gov
20005,DETAIL,ALLOCATION,KDA-DWR,2016,20005,20,http://wade.kda.ks.gov
20007,DETAIL,ALLOCATION,KDA-DWR,2016,20007,20,http://wade.kda.ks.gov
20009,DETAIL,ALLOCATION,KDA-DWR,2016,20009,20,http://wade.kda.ks.gov
20011,DETAIL,ALLOCATION,KDA-DWR,2016,20011,20,http://wade.kda.ks.gov
20013,DETAIL,ALLOCATION,KDA-DWR,2016,20013,20,http://wade.kda.ks.gov
20015,DETAIL,ALLOCATION,KDA-DWR,2016,20015,20,http://wade.kda.ks.gov
20017,DETAIL,ALLOCATION,KDA-DWR,2016,20017,20,http://wade.kda.ks.gov
20019,DETAIL,ALLOCATION,KDA-DWR,2016,20019,20,http://wade.kda.ks.gov
20021,DETAIL,ALLOCATION,KDA-DWR,2016,20021,20,http://wade.kda.ks.gov
20023,DETAIL,ALLOCATION,KDA-DWR,2016,20023,20,http://wade.kda.ks.gov
20025,DETAIL,ALLOCATION,KDA-DWR,2016,20025,20,http://wade.kda.ks.gov
20027,DETAIL,ALLOCATION,KDA-DWR,2016,20027,20,http://wade.kda.ks.gov
20029,DETAIL,ALLOCATION,KDA-DWR,2016,20029,20,http://wade.kda.ks.gov
20031,DETAIL,ALLOCATION,KDA-DWR,2016,20031,20,http://wade.kda.ks.gov
20033,DETAIL,ALLOCATION,KDA-DWR,2016,20033,20,http://wade.kda.ks.gov
20035,DETAIL,ALLOCATION,KDA-DWR,2016,20035,20,http://wade.kda.ks.gov
20037,DETAIL,ALLOCATION,KDA-DWR,2016,20037,20,http://wade.kda.ks.gov
20039,DETAIL,ALLOCATION,KDA-DWR,2016,20039,20,http://wade.kda.ks.gov
20041,DETAIL,ALLOCATION,KDA-DWR,2016,20041,20,http://wade.kda.ks.gov
20043,DETAIL,ALLOCATION,KDA-DWR,2016,20043,20,http://wade.kda.ks.gov
20045,DETAIL,ALLOCATION,KDA-DWR,2016,20045,20,http://wade.kda.ks.gov
20047,DETAIL,ALLOCATION,KDA-DWR,2016,20047,20,http://wade.kda.ks.gov
20049,DETAIL,ALLOCATION,KDA-DWR,2016,20049,20,http://wade.kda.ks.gov
20051,DETAIL,ALLOCATION,KDA-DWR,2016,20051,20,http://wade.kda.ks.gov
20053,DETAIL,ALLOCATION,KDA-DWR,2016,20053,20,http://wade.kda.ks.gov
20055,DETAIL,ALLOCATION,KDA-DWR,2016,20055,20,http://wade.kda.ks.gov
20057,DETAIL,ALLOCATION,KDA-DWR,2016,20057,20,http://wade.kda.ks.gov
20059,DETAIL,ALLOCATION,KDA-DWR,2016,20059,20,http://wade.kda.ks.gov
20061,DETAIL,ALLOCATION,KDA-DWR,2016,20061,20,http://wade.kda.ks.gov
20063,DETAIL,ALLOCATION,KDA-DWR,2016,20063,20,http://wade.kda.ks.gov
20065,DETAIL,ALLOCATION,KDA-DWR,2016,20065,20,http://wade.kda.ks.gov
20067,DETAIL,ALLOCATION,KDA-DWR,2016,20067,20,http://wade.kda.ks.gov
20069,DETAIL,ALLOCATION,KDA-DWR,2016,20069,20,http://wade.kda.ks.gov
20071,DETAIL,ALLOCATION,KDA-DWR,2016,20071,20,http://wade.kda.ks.gov
20073,DETAIL,ALLOCATION,KDA-DWR,2016,20073,20,http://wade.kda.ks.gov
20075,DETAIL,ALLOCATION,KDA-DWR,2016,20075,20,http://wade.kda.ks.gov
20077,DETAIL,ALLOCATION,KDA-DWR,2016,20077,20,http://wade.kda.ks.gov
20079,DETAIL,ALLOCATION,KDA-DWR,2016,20079,20,http://wade.kda.ks.gov
20081,DETAIL,ALLOCATION,KDA-DWR,2016,20081,20,http://wade.kda.ks.gov
20083,DETAIL,ALLOCATION,KDA-DWR,2016,20083,20,http://wade.kda.ks.gov
20085,DETAIL,ALLOCATION,KDA-DWR,2016,20085,20,http://wade.kda.ks.gov
20087,DETAIL,ALLOCATION,KDA-DWR,2016,20087,20,http://wade.kda.ks.gov
20089,DETAIL,ALLOCATION,KDA-DWR,2016,20089,20,http://wade.kda.ks.gov
20091,DETAIL,ALLOCATION,KDA-DWR,2016,20091,20,http://wade.kda.ks.gov
20093,DETAIL,ALLOCATION,KDA-DWR,2016,20093,20,http://wade.kda.ks.gov
20095,DETAIL,ALLOCATION,KDA-DWR,2016,20095,20,http://wade.kda.ks.gov
20097,DETAIL,ALLOCATION,KDA-DWR,2016,20097,20,http://wade.kda.ks.gov
20099,DETAIL,ALLOCATION,KDA-DWR,2016,20099,20,http://wade.kda.ks.gov
20101,DETAIL,ALLOCATION,KDA-DWR,2016,20101,20,http://wade.kda.ks.gov
20103,DETAIL,ALLOCATION,KDA-DWR,2016,20103,20,http://wade.kda.ks.gov
20105,DETAIL,ALLOCATION,KDA-DWR,2016,20105,20,http://wade.kda.ks.gov
20107,DETAIL,ALLOCATION,KDA-DWR,2016,20107,20,http://wade.kda.ks.gov
20109,DETAIL,ALLOCATION,KDA-DWR,2016,20109,20,http://wade.kda.ks.gov
20111,DETAIL,ALLOCATION,KDA-DWR,2016,20111,20,http://wade.kda.ks.gov
20113,DETAIL,ALLOCATION,KDA-DWR,2016,20113,20,http://wade.kda.ks.gov
20115,DETAIL,ALLOCATION,KDA-DWR,2016,20115,20,http://wade.kda.ks.gov
20117,DETAIL,ALLOCATION,KDA-DWR,2016,20117,20,http://wade.kda.ks.gov
20119,DETAIL,ALLOCATION,KDA-DWR,2016,20119,20,http://wade.kda.ks.gov
20121,DETAIL,ALLOCATION,KDA-DWR,2016,20121,20,http://wade.kda.ks.gov
20123,DETAIL,ALLOCATION,KDA-DWR,2016,20123,20,http://wade.kda.ks.gov
20125,DETAIL,ALLOCATION,KDA-DWR,2016,20125,20,http://wade.kda.ks.gov
20127,DETAIL,ALLOCATION,KDA-DWR,2016,20127,20,http://wade.kda.ks.gov
20129,DETAIL,ALLOCATION,KDA-DWR,2016,20129,20,http://wade.kda.ks.gov
20131,DETAIL,ALLOCATION,KDA-DWR,2016,20131,20,http://wade.kda.ks.gov
20133,DETAIL,ALLOCATION,KDA-DWR,2016,20133,20,http://wade.kda.ks.gov
20135,DETAIL,ALLOCATION,KDA-DWR,2016,20135,20,http://wade.kda.ks.gov
20137,DETAIL,ALLOCATION,KDA-DWR,2016,20137,20,http://wade.kda.ks.gov
20139,DETAIL,ALLOCATION,KDA-DWR,2016,20139,20,http://wade.kda.ks.gov
20141,DETAIL,ALLOCATION,KDA-DWR,2016,20141,20,http://wade.kda.ks.gov
20143,DETAIL,ALLOCATION,KDA-DWR,2016,20143,20,http://wade.kda.ks.gov
20145,DETAIL,ALLOCATION,KDA-DWR,2016,20145,20,http://wade.kda.ks.gov
20147,DETAIL,ALLOCATION,KDA-DWR,2016,20147,20,http://wade.kda.ks.gov
20149,DETAIL,ALLOCATION,KDA-DWR,2016,20149,20,http://wade.kda.ks.gov
20151,DETAIL,ALLOCATION,KDA-DWR,2016,20151,20,http://wade.kda.ks.gov
20153,DETAIL,ALLOCATION,KDA-DWR,2016,20153,20,http://wade.kda.ks.gov
20155,DETAIL,ALLOCATION,KDA-DWR,2016,20155,20,http://wade.kda.ks.gov
20157,DETAIL,ALLOCATION,KDA-DWR,2016,20157,20,http://wade.kda.ks.gov
20159,DETAIL,ALLOCATION,KDA-DWR,2016,20159,20,http://wade.kda.ks.gov
20161,DETAIL,ALLOCATION,KDA-DWR,2016,20161,20,http://wade.kda.ks.gov
20163,DETAIL,ALLOCATION,KDA-DWR,2016,20163,20,http://wade.kda.ks.gov
20165,DETAIL,ALLOCATION,KDA-DWR,2016,20165,20,http://wade.kda.ks.gov
20167,DETAIL,ALLOCATION,KDA-DWR,2016,20167,20,http://wade.kda.ks.gov
20169,DETAIL,ALLOCATION,KDA-DWR,2016,20169,20,http://wade.kda.ks.gov
20171,DETAIL,ALLOCATION,KDA-DWR,2016,20171,20,http://wade.kda.ks.gov
20173,DETAIL,ALLOCATION,KDA-DWR,2016,20173,20,http://wade.kda.ks.gov
20175,DETAIL,ALLOCATION,KDA-DWR,2016,20175,20,http://wade.kda.ks.gov
20177,DETAIL,ALLOCATION,KDA-DWR,2016,20177,20,http://wade.kda.ks.gov
20179,DETAIL,ALLOCATION,KDA-DWR,2016,20179,20,http://wade.kda.ks.gov
20181,DETAIL,ALLOCATION,KDA-DWR,2016,20181,20,http://wade.kda.ks.gov
20183,DETAIL,ALLOCATION,KDA-DWR,2016,20183,20,http://wade.kda.ks.gov
20185,DETAIL,ALLOCATION,KDA-DWR,2016,20185,20,http://wade.kda.ks.gov
20187,DETAIL,ALLOCATION,KDA-DWR,2016,20187,20,http://wade.kda.ks.gov
20189,DETAIL,ALLOCATION,KDA-DWR,2016,20189,20,http://wade.kda.ks.gov
20191,DETAIL,ALLOCATION,KDA-DWR,2016,20191,20,http://wade.kda.ks.gov
20193,DETAIL,ALLOCATION,KDA-DWR,2016,20193,20,http://wade.kda.ks.gov
20195,DETAIL,ALLOCATION,KDA-DWR,2016,20195,20,http://wade.kda.ks.gov
20197,DETAIL,ALLOCATION,KDA-DWR,2016,20197,20,http://wade.kda.ks.gov
20199,DETAIL,ALLOCATION,KDA-DWR,2016,20199,20,http://wade.kda.ks.gov
20201,DETAIL,ALLOCATION,KDA-DWR,2016,20201,20,http://wade.kda.ks.gov
20203,DETAIL,ALLOCATION,KDA-DWR,2016,20203,20,http://wade.kda.ks.gov
20205,DETAIL,ALLOCATION,KDA-DWR,2016,20205,20,http://wade.kda.ks.gov
20207,DETAIL,ALLOCATION,KDA-DWR,2016,20207,20,http://wade.kda.ks.gov
20209,DETAIL,ALLOCATION,KDA-DWR,2016,20209,20,http://wade.kda.ks.gov
